STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
1216,VICTORIA DRIVE,5,P D A Capital Corp,2,"[49.2735184, -123.065658]"
1840,VINE ST,6,First Investments Corporation,1,"[49.2695628, -123.1574179]"
2020,VINE ST,10,Yen Hoy Enterprises Ltd Et Al,2,"[49.2682046, -123.1574847]"
2515,VINE ST,12,Katherine Michas,1,"[49.2639095, -123.157707]"
5350,VINE ST,31,Kenmark Investments Ltd,1,"[49.2377487, -123.1595453]"
1225,W 10TH AV,7,Lemerald Investments Corp,1,"[49.2625489, -123.1320126]"
1432,W 10TH AV,33,Gold Holdings Ltd,1,"[49.2622763, -123.1368675]"
4615,W 10TH AV,13,650005 B C Ltd,1,"[49.2638922, -123.2123174]"
4665,W 10TH AV,45,Christopher Investments Ltd,1,"[49.2639202, -123.2140133]"
104,W 11TH AV,7,Gurdyal R P Sahota & Ranjit Sahota,61,"[49.2612128, -123.1071402]"
1134,W 11TH AV,10,Nikolas Sereda & Zina Sereda,1,"[49.2615717, -123.130015]"
1364,W 11TH AV,30,Wimming Canada Ltd,1,"[49.2616496, -123.1351851]"
1715,W 11TH AV,65,Major Development Ltd,1,"[49.2618223, -123.1439845]"
14,W 12TH AV,6,Claire Saez Co & Jocelyn Sia,4,"[49.2602695, -123.1052188]"
184,W 12TH AV,8,Tanya Marry Zelezen Meira (Tanya Zelezen Maeira),2,"[49.2603298, -123.1091163]"
454,W 12TH AV,8,Futura Management Ltd,1,"[49.2604014, -123.114744]"
1265,W 12TH AV,9,George Zelis,2,"[49.2607449, -123.1329394]"
1305,W 12TH AV,82,Hollyburn Properties Ltd,2,"[49.2607083, -123.1339399]"
1815,W 12TH AV,5,San-Dah Lok,2,"[49.2609128, -123.1461861]"
1446,W 13TH AV,11,Edward Thompson,1,"[49.2598092, -123.1378228]"
1510,W 13TH AV,8,No 198 Cathedral Ventures Ltd,3,"[49.2598272, -123.1388249]"
975,W 14TH AV,6,900 West 14th Holdings Inc,4,"[49.2587382, -123.1263431]"
1255,W 14TH AV,60,Vancouver Park Lane Towers Ltd,3,"[49.2588285, -123.1338162]"
1390,W 14TH AV,21,Mrs W Gutmann & Estate Of Dr Gutmann (W Gutmann),3,"[49.25885539999999, -123.1361532]"
